Object,Star,Star_type,Mass (M?),Radius (R?),Flux,Planet_Temp(K),Period (days),Distance(ly),Refs_Notes,Distance_mother_star(AU),Tem_Star(K),Absolute_magnitud,Radio_Star(m),Albedo,Solar_Flux (W/m^2),Star_radio(AU),Distance_Star_planet(m),Produc_Entropy,Planet_Diameter (m)
Gliese 785 b,HD 192310,Ã‚Â K2V,0.0532,,,355,74.72,28.7,,0.32,5166,,549840000,0.323844978,545.5193262,0.003675401,48000000000,3.38647,0
HD 85512 b,HD 85512,K6V,0.01,,,298,58.43,36.79,,0.26,4404,,370968000,0.078123398,131.1541419,0.002479733,39000000000,1.87378,0
K2-3d,Ã‚Â EPIC 201367065,M0 V,0.0236,0.135,,282,44.55983,,,0.2076,3896,0.727706569,390456000,0.305368753,88.98972535,0.00261,31140000000,1.6885,1720.17
K2-18b,EPIC 201912552,M2.5 V,0.025,0.212,,235,32.93963,110,,0.143,3457,-1.043985036,326424000,0.633136065,38.55507521,0.002181979,21450000000,1.15611,2701.304
K2-155d,K2-155,K7,0.015,0.146,,289,40.6835,,,0.1937,4258,-0.105830745,403680000,0.562602097,135.7115987,0.002698396,29055000000,2.04083,1860.332
WASP-47c,WASP-47,G9V,1.24,,,247,572,200,,1.36,5576,,807360000,0.021944972,1596.413493,0.005396791,2.04E+11,1.07069,0
Kepler-1661(AB) b,Kepler-1661 (AB),M9,0.053,0.345,,243,175.06,1355.26,,0.633,5100,,765600000,0.684593137,1004.626028,0.005117647,94950000000,1.28474,4395.99
Lacaille 9352 c,Lacaille 9352,M0.5V,0.0234,,,352,21.789,10.721,,0.12,"3,688",,327120000,0.000279772,50.1530924,0.002186631,18000000000,2.97492,0
GJ 3473 c,GJ 3473,M4V,0.0233,,,329.1,15.509,89.29,,0.0876,3347,,278400000,0.171520802,24.64229675,0.001860963,13140000000,2.72442,0
Mercurio ,SunÃ‚Â (Sol),G2V,0.055,0.3829,,440,,,,0.387098,5778,0.082179162,696000000,0.068791117,1367.881579,0.004652406,58064700000,5.98241,4878.9118
Marte,SunÃ‚Â (Sol),G2V,0.107,0.533,,210,,,,1.523679,5778,-2.0430463,696000000,0.251384712,1367.881579,0.004652406,2.29E+11,0.686381,6791.486
Jupiter,SunÃ‚Â (Sol),G2V,317.8,11.209,,100,,,,5.2004,5778,-9.510453121,696000000,0.551597476,1367.881579,0.004652406,7.80E+11,0.145214,142825.078
Saturno,SunÃ‚Â (Sol),G2V,95.159,9.449,,97,,,,9.58,5778,,696000000,-0.347139295,1367.881579,0.004652406,1.44E+12,0.0332542,120399.158
Urano,SunÃ‚Â (Sol),G2V,14.53,4.007,,53,,,,19.21,5778,-7.206839949,696000000,0.517216124,1367.881579,0.004652406,2.88E+12,0.0113668,51057.194
Neptuno,SunÃ‚Â (Sol),G2V,17.14,3.883,,45,,,,30.07,5778,-6.818705115,696000000,0.385231707,1367.881579,0.004652406,4.51E+12,0.00684927,49477.186
Pluton,SunÃ‚Â (Sol),G2V,0.00218,0.1868,,35,,,,39.48,5778,-0.732659852,696000000,0.612188204,1367.881579,0.004652406,5.92E+12,0.00329163,2380.2056
Titan,SunÃ‚Â (Sol),G2V,0.0225,0.404,,83,,,,10,5778,-1.262045105,696000000,0.213122878,1367.881579,0.004652406,1.50E+12,0.0423856,5147.768
Luyten 98-59 f*,Luyten 98-59,M3V,2.46,,1,280,23.15,34.648,Unconfirmed[33],0.1034,3412,,218544000,0.09117029,16.39961819,0.001460856,15510000000,1.54863,0
Kepler-174d,Kepler-174,K3V,,2.19,0.43,206,247.4,1254,[1],0.667,4723,,431520000,0.225948089,234.7434658,0.002884492,1.00E+11,0.644798,27904.98
